arm,workload,cache_state,entities,fields,source_sha256,source_bytes,nesting_scan_bytes,json_parser_deserializer_bytes,canonical_render_bytes,entity_records,formula_ast_nodes,reference_edges,formula_dependency_edges,serialized_spine_bytes,repetition,source_known_us,first_preview_us,semantic_or_scan_current_us
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,8,,,48114
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,8,,,48640
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,9,127,304,43793
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,9,,,47819
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,9,,,48740
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,9,,,84769
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,10,,,52065
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,10,,,50396
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,10,,,86463
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,10,101,265,43958
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,11,,,48863
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,11,,,84083
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,11,93,247,43918
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,11,,,48913
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,12,,,83580
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,12,125,328,43256
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,12,,,48205
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,12,,,48236
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,13,78,240,43667
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,13,,,47608
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,13,,,47842
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,13,,,84619
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,14,,,48437
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,14,,,48408
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,14,,,83863
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,14,118,290,43694
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,15,,,48076
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,15,,,84642
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,15,124,290,44073
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,15,,,48820
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,16,,,84591
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,16,74,222,43707
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,16,,,49101
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,16,,,48460
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,17,60,191,44064
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,17,,,47976
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,17,,,48135
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,17,,,83889
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,18,,,50321
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,18,,,48237
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,18,,,83322
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,18,58,192,43792
C-structural,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,330009,19,,,49260
A0,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,9504840,28514520,4753420,1000,0,0,0,0,19,,,83972
A1,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,0,19,65,200,43989
C-directory,payload_unicode_long_record,os_cache_warm,1000,1000,34e589a47ee4e9d238f4c8f4ffb4125bcaf1adff18075cc7e90852caa716d9dd,4753420,4752420,14257260,4753420,1000,0,0,0,247900,19,,,49815
A0,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,2665556,7996668,1333778,1000,0,16000,0,0,0,,,50377
A1,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,0,0,111,305,23850
C-directory,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,255148,0,,,34612
C-structural,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,3759256,0,,,33995
A1,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,0,1,102,298,24479
C-directory,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,255148,1,,,34351
C-structural,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,3759256,1,,,34016
A0,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,2665556,7996668,1333778,1000,0,16000,0,0,1,,,48338
C-directory,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,255148,2,,,34145
C-structural,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,3759256,2,,,34785
A0,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,2665556,7996668,1333778,1000,0,16000,0,0,2,,,48472
A1,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,0,2,63,221,24575
C-structural,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,3759256,3,,,34556
A0,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,2665556,7996668,1333778,1000,0,16000,0,0,3,,,48903
A1,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,0,3,67,230,24523
C-directory,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,255148,3,,,34845
A0,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,2665556,7996668,1333778,1000,0,16000,0,0,4,,,49197
A1,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,0,4,125,341,24683
C-directory,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,255148,4,,,35105
C-structural,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,3759256,4,,,35568
A1,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,0,5,92,374,24160
C-directory,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,255148,5,,,34806
C-structural,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,3759256,5,,,36745
A0,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,2665556,7996668,1333778,1000,0,16000,0,0,5,,,48791
C-directory,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,255148,6,,,34869
C-structural,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,3759256,6,,,34530
A0,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,2665556,7996668,1333778,1000,0,16000,0,0,6,,,48437
A1,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,0,6,58,204,24763
C-structural,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,3759256,7,,,34246
A0,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,2665556,7996668,1333778,1000,0,16000,0,0,7,,,50648
A1,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,0,7,122,317,24219
C-directory,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,255148,7,,,34688
A0,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,2665556,7996668,1333778,1000,0,16000,0,0,8,,,49214
A1,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,0,8,119,312,24741
C-directory,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,255148,8,,,34380
C-structural,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,3759256,8,,,35339
A1,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,0,9,49,192,24942
C-directory,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,255148,9,,,34708
C-structural,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,3759256,9,,,35429
A0,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,2665556,7996668,1333778,1000,0,16000,0,0,9,,,49746
C-directory,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,255148,10,,,34369
C-structural,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,3759256,10,,,34836
A0,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,2665556,7996668,1333778,1000,0,16000,0,0,10,,,48104
A1,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,0,10,75,228,24376
C-structural,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,3759256,11,,,34929
A0,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,2665556,7996668,1333778,1000,0,16000,0,0,11,,,49558
A1,reference_heavy,os_cache_warm,1000,16000,d4a12c929db082b70e9618437d4efbc9e664443a544f1df1ff4886c5d9bd855a,1333778,1332778,3998334,1333778,1000,0,16000,0,0,11,68,219,24837
